month,month(`date(Timesteps)`),date(Timesteps)_mean,Timesteps_mean_mean,Tair_mean_mean,Ts_mean_mean,RH_mean_mean,WS_mean_mean,WD_mean_mean,Sin_mean_mean,Sout_mean_mean,Lin_mean_mean,Lout_mean_mean,hydro_year_mean_mean,Ts_Lout_mean_mean,Snet_mean_mean,Lnet_mean_mean,R_mean_mean,Albedo_acc_mean_mean,stoa_mean_mean,cf_mean_mean,date(Timesteps)_sd,Timesteps_mean_sd,Tair_mean_sd,Ts_mean_sd,RH_mean_sd,WS_mean_sd,WD_mean_sd,Sin_mean_sd,Sout_mean_sd,Lin_mean_sd,Lout_mean_sd,hydro_year_mean_sd,Ts_Lout_mean_sd,Snet_mean_sd,Lnet_mean_sd,R_mean_sd,Albedo_acc_mean_sd,stoa_mean_sd,cf_mean_sd
10,10,11/22/2014,11/23/2014 6:19,-5.658036126,-7.697257598,43.54668788,3.806714958,216.0308672,204.5386354,102.4050155,203.007419,285.3145708,NA,-7.202986953,102.1336199,-82.30715184,24.60659456,0.515394099,313.7088334,0.340984791,1181.406173,102073535.5,3.249775583,4.753781917,14.63855412,0.988082601,24.52304305,39.64076624,36.99391657,24.38832905,19.87803304,NA,4.497076856,48.4011991,25.10051487,29.98132185,0.1844602,22.16309483,0.168914386
11,11,11/15/2014,11/16/2014 1:54,-9.250198709,-12.20907938,33.31219661,4.88788562,205.7963958,153.9265582,80.91172077,190.2311222,265.2563369,NA,-11.8788103,73.01483746,-75.02521468,1.215096594,0.545172194,247.6817445,0.394373868,1156.765259,99944647.97,2.423494102,3.248651965,18.3418473,1.65210793,38.48160555,39.25754429,25.09114336,31.64405257,12.2329362,NA,2.987777179,33.08311486,28.08761358,16.42812383,0.157570805,15.58606527,0.218165959
12,12,12/16/2014,12/16/2014 13:54,-12.44190828,-15.67730903,30.54349368,5.289358124,196.3873483,125.8767283,66.72248458,179.6705513,251.181192,NA,-15.37996258,59.15424371,-71.51064068,-9.749696958,0.550275725,214.3267968,0.442090028,1156.710758,99939939.01,3.169625856,3.439366943,18.82506587,1.811222835,42.45406994,31.09563255,17.6374819,32.79891685,12.5098267,NA,3.172379093,26.28016529,28.64006583,14.63423947,0.140315884,3.414951388,0.202180725
1,1,1/16/2015,1/16/2015 13:54,-15.33121516,-17.59680307,40.15273304,5.437829104,191.7370917,135.6298006,81.61910096,189.7859747,243.4266158,NA,-17.38918949,54.01069963,-53.64064109,1.882387835,0.625245197,230.7233692,0.453418221,1156.710758,99939939.01,2.889024215,3.313546022,20.74279885,2.224109612,44.46710565,40.50159056,20.65339877,37.04680607,12.33438695,NA,3.275127834,27.39350033,30.89992614,13.63871365,0.114668262,12.35106746,0.210418864
2,2,2/18/2015,2/18/2015 17:44,-14.14860122,-15.07546302,48.34119696,5.97374712,181.1856163,165.322298,106.409654,207.7421489,253.257152,NA,-14.85047009,58.91264401,-45.51500316,15.77069312,0.671170216,287.3128105,0.466625021,1157.836498,100037201.9,2.617414253,3.225817068,21.57926667,2.723875122,43.95298186,56.86512113,30.00948621,34.82484217,11.95565263,NA,3.054034332,34.15697401,30.09415817,15.16442775,0.109199964,19.15689564,0.222539246
3,3,3/16/2015,3/16/2015 20:27,-11.01364792,-11.91942685,45.26577438,4.63781707,197.6614231,235.8453749,158.0093959,212.5132175,266.3379602,NA,-11.71575404,77.83597906,-53.82474274,25.82628163,0.69016021,358.1311683,0.361905644,1156.797131,99947401.69,3.237747841,3.542787436,18.86040361,2.062598081,37.90262596,65.84249395,37.35541477,31.12180321,14.41625835,NA,3.424669968,36.91930842,29.77557499,16.58271373,0.090702601,21.1330992,0.208778789
4,4,4/15/2015,4/16/2015 8:27,-6.824920953,-7.280162913,48.93656694,3.716279554,203.227969,294.6806664,195.329698,226.2111712,285.7509471,NA,-7.078649308,99.35096833,-59.53977592,43.1368294,0.686546398,422.6128542,0.322952045,1156.851637,99952111.03,2.589194516,3.459080192,17.21637487,1.698872751,28.81977484,73.42182568,43.21233834,28.41886757,15.2900372,NA,3.432203802,47.167491,29.79967946,24.73088411,0.104865088,15.41526435,0.205779544
5,5,5/16/2015,5/16/2015 20:28,-3.405002637,-2.159711157,52.40806299,3.160599258,203.1367198,323.8479896,174.5376817,239.040333,308.861728,NA,-1.891237493,149.3103079,-69.82139502,84.18298127,0.557201862,462.961825,0.295148957,1156.797131,99947330.68,2.116766039,3.511410133,13.83232538,1.135742558,23.10661289,66.36327573,46.1294074,23.71900684,15.97194445,NA,3.391408745,62.49967415,25.63089003,41.71358667,0.146930594,8.529927174,0.18762386
6,6,6/15/2015,6/16/2015 8:28,0.704388589,3.819796231,61.49383163,2.84998427,204.5917266,320.0297118,121.158633,266.0040217,336.1576347,NA,3.776478886,198.8710787,-70.15361298,128.7174658,0.382998331,477.8970059,0.329313596,1156.851637,99951981.47,2.372058396,4.153738695,13.60808383,0.832769687,21.9752305,72.84854142,53.67453599,26.97369591,20.86616945,NA,4.166498134,67.02753284,29.91251476,44.91700924,0.158019611,1.328824679,0.207778652
7,7,7/16/2015,7/16/2015 20:28,4.367102754,8.262941692,72.91989911,2.581697383,212.8243906,274.7114806,66.88125894,293.1350059,357.7055627,NA,8.218606482,207.8302216,-64.57055689,143.2596647,0.241794228,469.3511541,0.432754186,1156.797131,99947272.13,1.489565794,3.047487545,10.50202153,0.630611465,16.25927472,76.92403786,28.14835312,23.55572967,16.38255775,NA,3.061622078,59.87039251,29.49482721,37.11654346,0.085007088,5.843114878,0.217497661
